,YearMonth,PostalCode,CustomerClass,TotalGallons
449,2012-03-01,78717,Irrigation - City of Austin,0
450,2012-03-01,78717,Irrigation - Commercial,2937500
451,2012-03-01,78717,City of Austin,0
452,2012-03-01,78719,Commercial,3158000
453,2012-03-01,78719,City of Austin,1875900
454,2012-03-01,78719,Irrigation - Commercial,240000
455,2012-03-01,78719,Wholesale,752600
456,2012-03-01,78719,Irrigation - City of Austin,204600
457,2012-03-01,78719,Austin Water Utility,337200
458,2012-03-01,78721,Austin Water Utility,1900
459,2012-03-01,78721,Irrigation - Commercial,242700
460,2012-03-01,78721,Irrigation - City of Austin,71700
461,2012-03-01,78721,Commercial,7254000
462,2012-03-01,78721,City of Austin,156800
463,2012-03-01,78722,Irrigation - City of Austin,801100
464,2012-03-01,78722,Irrigation - Commercial,330700
465,2012-03-01,78722,City of Austin,20200
466,2012-03-01,78722,Commercial,4397600
467,2012-03-01,78723,City of Austin,2253800
468,2012-03-01,78723,Irrigation - City of Austin,32000
469,2012-03-01,78723,Irrigation - Commercial,3184100
470,2012-03-01,78723,Commercial,14219400
471,2012-03-01,78724,Irrigation - City of Austin,0
472,2012-03-01,78724,Commercial,4419900
473,2012-03-01,78724,City of Austin,2764000
474,2012-03-01,78724,Irrigation - Commercial,2323900
475,2012-03-01,78724,Austin Water Utility,0
476,2012-03-01,78725,City of Austin,27000
477,2012-03-01,78725,Large Volume,28751400
478,2012-03-01,78725,Commercial,4702000
479,2012-03-01,78725,Irrigation - Commercial,79500
480,2012-03-01,78725,Wholesale,933000
481,2012-03-01,78725,Austin Water Utility,1074300
482,2012-03-01,78726,Commercial,5799400
483,2012-03-01,78726,Irrigation - Commercial,1518600
484,2012-03-01,78726,Austin Water Utility,0
485,2012-03-01,78726,City of Austin,271000
486,2012-03-01,78727,Commercial,12028900
487,2012-03-01,78727,Irrigation - City of Austin,100
488,2012-03-01,78727,City of Austin,24200
489,2012-03-01,78727,Irrigation - Commercial,3339800
490,2012-03-01,78728,Large Volume,5969000
491,2012-03-01,78728,Wholesale,33207500
492,2012-03-01,78728,Irrigation - Commercial,1581000
493,2012-03-01,78728,Commercial,4162000
494,2012-03-01,78729,City of Austin,12300
495,2012-03-01,78729,Irrigation - City of Austin,0
496,2012-03-01,78729,Irrigation - Commercial,2670700
497,2012-03-01,78729,Commercial,10362600
498,2012-03-01,78729,Wholesale,24055200
499,2012-03-01,78730,Commercial,1995800
500,2012-03-01,78730,Irrigation - Commercial,1048100
501,2012-03-01,78731,Austin Water Utility,0
502,2012-03-01,78731,City of Austin,132800
503,2012-03-01,78731,Irrigation - Commercial,2182600
504,2012-03-01,78731,Irrigation - City of Austin,74200
505,2012-03-01,78731,Commercial,16060900
506,2012-03-01,78732,Commercial,285600
507,2012-03-01,78735,City of Austin,280000
508,2012-03-01,78735,Large Volume,15883000
509,2012-03-01,78735,Irrigation - Commercial,1771800
510,2012-03-01,78735,Commercial,7466000
511,2012-03-01,78735,Wholesale,442300
512,2012-03-01,78735,Austin Water Utility,0
513,2012-03-01,78736,Irrigation - Commercial,221100
514,2012-03-01,78736,Commercial,1102300
515,2012-03-01,78737,Wholesale,451400
516,2012-03-01,78737,Irrigation - Commercial,112600
517,2012-03-01,78737,Commercial,349800
518,2012-03-01,78739,Commercial,2074300
519,2012-03-01,78739,Wholesale,9493200
520,2012-03-01,78739,Austin Water Utility,100
521,2012-03-01,78739,Irrigation - Commercial,983000
522,2012-03-01,78739,Irrigation - City of Austin,700
523,2012-03-01,78739,City of Austin,15300
524,2012-03-01,78741,Austin Water Utility,94000
525,2012-03-01,78741,Commercial,16701400
526,2012-03-01,78741,City of Austin,270100
527,2012-03-01,78741,Irrigation - City of Austin,871900
528,2012-03-01,78741,Irrigation - Commercial,2311100
529,2012-03-01,78741,Large Volume,37560000
530,2012-03-01,78742,Commercial,475500
531,2012-03-01,78742,Irrigation - Commercial,33900
532,2012-03-01,78744,Wholesale,2430000
533,2012-03-01,78744,City of Austin,670000
534,2012-03-01,78744,Commercial,24620500
535,2012-03-01,78744,Irrigation - City of Austin,1007300
536,2012-03-01,78744,Austin Water Utility,352600
537,2012-03-01,78744,Irrigation - Commercial,3087600
538,2012-03-01,78745,Irrigation - City of Austin,500
539,2012-03-01,78745,City of Austin,112900
540,2012-03-01,78745,Wholesale,3617400
541,2012-03-01,78745,Irrigation - Commercial,2277100
542,2012-03-01,78745,Commercial,26758600
543,2012-03-01,78746,City of Austin,1211100
544,2012-03-01,78746,Irrigation - City of Austin,344000
545,2012-03-01,78746,Commercial,10506300
546,2012-03-01,78746,Wholesale,58437800
547,2012-03-01,78746,Irrigation - Commercial,1584300
548,2012-03-01,78747,Irrigation - Commercial,567900
549,2012-03-01,78747,Austin Water Utility,1469600
550,2012-03-01,78747,Wholesale,2425500
551,2012-03-01,78747,Commercial,1071500
552,2012-03-01,78748,City of Austin,48300
553,2012-03-01,78748,Wholesale,477100
554,2012-03-01,78748,Irrigation - Commercial,2638200
555,2012-03-01,78748,Commercial,11261600
556,2012-03-01,78748,Irrigation - City of Austin,23200
557,2012-03-01,78749,Irrigation - City of Austin,33800
558,2012-03-01,78749,Wholesale,2191700
559,2012-03-01,78749,Commercial,9155400
560,2012-03-01,78749,City of Austin,35300
561,2012-03-01,78749,Irrigation - Commercial,4009500
562,2012-03-01,78750,City of Austin,125700
563,2012-03-01,78750,Irrigation - City of Austin,69700
564,2012-03-01,78750,Austin Water Utility,13900
565,2012-03-01,78750,Irrigation - Commercial,3178600
566,2012-03-01,78750,Commercial,7791400
567,2012-03-01,78751,Irrigation - Commercial,377600
568,2012-03-01,78751,City of Austin,51000
569,2012-03-01,78751,Commercial,14717500
570,2012-03-01,78751,Irrigation - City of Austin,561200
571,2012-03-01,78752,Commercial,23619700
572,2012-03-01,78752,Irrigation - City of Austin,0
573,2012-03-01,78752,Irrigation - Commercial,1445600
574,2012-03-01,78752,City of Austin,129100
575,2012-03-01,78753,Irrigation - Commercial,4770100
576,2012-03-01,78753,Irrigation - City of Austin,308000
577,2012-03-01,78753,Commercial,34347700
578,2012-03-01,78753,Austin Water Utility,0
579,2012-03-01,78753,City of Austin,24800
580,2012-03-01,78754,Large Volume,127174800
581,2012-03-01,78754,Irrigation - City of Austin,0
582,2012-03-01,78754,Austin Water Utility,86600
583,2012-03-01,78754,Commercial,11717300
584,2012-03-01,78754,City of Austin,274000
585,2012-03-01,78754,Irrigation - Commercial,2930800
586,2012-03-01,78756,Austin Water Utility,63200
587,2012-03-01,78756,Irrigation - City of Austin,0
588,2012-03-01,78756,Irrigation - Commercial,182400
